domain,concept_id,concept_label,harmonized_year,source_dataset,source_question_ids,source_question_texts,base_question_ids_103,base_question_texts_103,source_option_code,source_option_text,source_min_value,source_max_value,base_option_code_103,base_option_text_103,base_min_value_103,base_max_value_103,comparison_level,mapping_relation,total_construction_rule,note
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,91,91_1,23,請問您每個月家庭平均支出是多少？,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,reported_total_in_source,use_reported_total,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,91,91_2,23,請問您每個月家庭平均支出是多少？,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,reported_total_in_source,use_reported_total,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,95,95,Q12-1;Q12-2;Q12-3;Q12-4;Q12-5;Q12-6;Q12-7;Q12-8;Q12-9;Q12-10;Q12-11;Q12-12;Q12-13;Q12-14,請問您全家每個月用在支付「吃飯、蔬菜魚肉、水果、飲料費等」的費用 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車 | 請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的 | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、紅白包禮金、 | 請問您全家每個月用在支付「打掃家庭、洗衣洗碗、請傭人等」的費用是 | 請問您全家每個月用在支付「各項學費、補習費、報紙雜誌書籍文具等」 | 請問您全家每個月用在支付「國內外旅遊、運動娛樂消遣」的費用是多少？ | 請問您全家每個月用在支付「利息、各項貸款、跟會」的費用是多少？ | 請問您全家每個月用在支付「買衣服、鞋子、襪子各項衣物」的費用是 | 請問您全家每個月用在支付購買「傢俱、家庭電器、廚房用具等」的費 | 請問您全家每個月用在支付「兒童照顧、老人照顧、身心障礙者照顧等」 | 請問您全家每個月用在支付其他費用，像是「牙膏洗髮精理髮沐浴用品、,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,derived_total_from_components,sum_of_component_amounts,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,99,99,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8,"請問您全家每個月用在支付「吃飯、蔬菜魚肉、水果、飲料費等」的費用是多少？【過去ㄧ年帄均每個月的金額】, | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多少？【過去ㄧ年帄均每個月的金額】 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養油錢、市內電話、手機電話等」的費用是多少？【過去ㄧ年帄均每個月的金額】 | 請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【過去ㄧ年帄均每個月的金額】 | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年帄均每個月的金額】 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、紅白包禮金、捐款」的費用是多少？【過去ㄧ年帄均每個月的金額，部分稅每年繳納一次請以 12 個月帄均】 | 打掃家庭/洗衣洗碗/請傭人 | 各項學費/補習費/報紙雜誌書籍文具 | 國內外旅遊/運動娛樂消遣 | 利息/各項貸款/跟會 | 買衣服/鞋子/襪子各項衣物 | 購買傢俱/家庭電器/廚房用具 | 兒童照顧/老人照顧/身心障礙者照顧 | 其他費用",J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,derived_total_from_components,sum_of_component_amounts,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,103,103,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,derived_total_from_components,sum_of_component_amounts,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,106,106,M1;M2;M3;M4;M5;M6;M7-1;M7-2;M7-3;M7-4;M7-5;M7-6;M7-7;M7-8;M7-9;M7-10,請問您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？ | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多 | 請問您全家每個月用在支付「抽煙、喝酒、吃檳榔等」的費用是多少？【106年平均每個月的金 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的 | 請家庭佣人(打掃家庭/洗衣洗碗) □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動/電影/展 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅行住 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 保姆費/安養院/身障者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,derived_total_from_components,sum_of_component_amounts,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_TOTAL_SYN,家庭總支出（合成）,110,110,H1;H2;H3;H4;H5;H6;H7-1;H7-2;H7-3;H7-4;H7-5;H7-6;H7-7;H7-8;H7-9;H7-10,請問您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少？ | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？ | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多 | 請問您全家每個月用在支付「抽煙、喝酒、吃檳榔等」的費用是多少？【110年平均每個月的金 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 請家庭佣人(打掃家庭/洗衣洗碗) □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動/電影/展覽 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅行住 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 保姆費/安養院/身障者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,J1;J2;J3;J4;J5;J6;J7-1;J7-2;J7-3;J7-4;J7-5;J7-6;J7-7;J7-8;J7-9;J7-10,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年 | 請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？【過 | 請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保險、 | 請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少？ | 請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每個月的 | 請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 | 打掃家庭/洗衣洗碗/請佣人 □(1)有 □(2)沒有           ○11 | 各項學費/補習費/家教費 □(1)有 □(2)沒有           ○11 | 報紙雜誌書籍文具 □(1)有 □(2)沒有           ○11 | 國內外跟團旅遊/運動娛樂 | 各項貸款/跟會的利息 □(1)有 □(2)沒有           ○11 | 外食費/學生住宿費/自助旅 | 買衣服/鞋子/襪子各項衣物 □(1)有 □(2)沒有           ○11 | 買家具/家庭電器/廚房用具 □(1)有 □(2)沒有           ○11 | 兒童/老人/身心障礙者照顧 □(1)有 □(2)沒有           ○11 | 其他費用 □(1)有 □(2)沒有           ○11,,,,,,,,,derived_total,derived_total_from_components,sum_of_component_amounts,若問卷無總支出題，後續 R 以所有可比對支出分項加總為總支出。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,1,未滿3千元,0,2999,1.0,"2,999 元及以下",0,999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,2,3千至未滿5千元,3000,4999,2.0,"3,000-4,999 元",3000,4999,option,exact_range,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,3,5千至未滿1萬元,5000,9999,3.0,"5,000-6,999 元",5000,6999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
