domain,concept_id,concept_label,harmonized_year,source_dataset,source_question_ids,source_question_texts,base_question_ids_103,base_question_texts_103,source_option_code,source_option_text,source_min_value,source_max_value,base_option_code_103,base_option_text_103,base_min_value_103,base_max_value_103,comparison_level,mapping_relation,total_construction_rule,note
income,INC_PERS_WORK,個人工作/營業收入,91,91_1,,,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,,,,,,,,,option,not_available_in_source_dataset,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,91,91_2,,,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,,,,,,,,,option,not_available_in_source_dataset,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,1,"9,999元及以下",0,9999,1,"9,999 元及以下",0,9999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,2,"10,000-19,999元",10000,19999,2,"10,000-14,999 元",10000,14999,option,source_bin_spans_multiple_base_bins,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,2,"10,000-19,999元",10000,19999,3,"15,000-19,999 元",15000,19999,option,source_bin_spans_multiple_base_bins,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,3,"20,000-29,999 元",20000,29999,4,"20,000-24,999 元",20000,24999,option,source_bin_spans_multiple_base_bins,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,3,"20,000-29,999 元",20000,29999,5,"25,000-29,999 元",25000,29999,option,source_bin_spans_multiple_base_bins,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,4,"30,000-39,999元",30000,39999,6,"30,000-39,999 元",30000,39999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,5,"40,000-49,999 元",40000,49999,7,"40,000-49,999 元",40000,49999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,6,"50,000-59,999元",50000,59999,8,"50,000-59,999 元",50000,59999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,7,"60,000-69,999 元",60000,69999,9,"60,000-69,999 元",60000,69999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
income,INC_PERS_WORK,個人工作/營業收入,95,95,Q10-1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,8,"70,000-79,999元",70000,79999,10,"70,000-79,999 元",70000,79999,option,exact_range,source_question,95+ 同概念；106/110 對象為經濟戶長。
