source_file,concept_id,category,integrated_var,concept,mapping_type,data_year,option_year,raw_var,matched_question_id,raw_option_order,raw_option_code,raw_option_text,unified_code,unified_label,mapping_rule,question_text,option_source_file,concept_note,row_note
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,question_not_available,2002,91_1,,H1,,,,,,not_available_in_source_dataset,,question_options_91_1.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=not_available_in_source_dataset; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,question_not_available,2002,91_2,,H1,,,,,,not_available_in_source_dataset,,question_options_91_2.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=not_available_in_source_dataset; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,1.0,"9,999元及以下",1.0,"9,999 元及以下",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,2.0,"10,000-19,999元",2.0,"10,000-14,999 元",source_bin_spans_multiple_base_bins,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,2,2.0,"10,000-19,999元",3.0,"15,000-19,999 元",source_bin_spans_multiple_base_bins,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,3.0,"20,000-29,999 元",4.0,"20,000-24,999 元",source_bin_spans_multiple_base_bins,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,2,3.0,"20,000-29,999 元",5.0,"25,000-29,999 元",source_bin_spans_multiple_base_bins,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,4.0,"30,000-39,999元",6.0,"30,000-39,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,5.0,"40,000-49,999 元",7.0,"40,000-49,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,6.0,"50,000-59,999元",8.0,"50,000-59,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,7.0,"60,000-69,999 元",9.0,"60,000-69,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,8.0,"70,000-79,999元",10.0,"70,000-79,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,9.0,"80,000-89,999 元",11.0,"80,000-89,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,10.0,"90,000-99,999元",12.0,"90,000-99,999 元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,11.0,"100,000-129,999 元",13.0,"100,000-129,999元",exact_range,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,12.0,"130,000-139,999元",14.0,"130,000-159,999元",source_bin_within_base_bin,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_within_base_bin; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,90.0,"140,000元及以上，請記錄 元",14.0,"130,000-159,999元",partial_overlap,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=partial_overlap; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,2,90.0,"140,000元及以上，請記錄 元",15.0,"160,000 元及以上，請記錄____________元",source_bin_spans_multiple_base_bins,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2006,95,Q10-1,H1,1,95.0,沒有這項收入,16.0,沒有這項收入,exact_none,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農,question_options_95.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_none; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2010,99,H1,H1,1,9,"9,999 元及以下",1.0,"9,999 元及以下",exact_range,"請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】, | 請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】",question_options_99.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=exact_range; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2010,99,H1,H1,1,10,"10,000-19,999 元",2.0,"10,000-14,999 元",source_bin_spans_multiple_base_bins,"請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】, | 請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】",question_options_99.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2010,99,H1,H1,2,10,"10,000-19,999 元",3.0,"15,000-19,999 元",source_bin_spans_multiple_base_bins,"請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】, | 請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】",question_options_99.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2010,99,H1,H1,1,20,"20,000-29,999 元",4.0,"20,000-24,999 元",source_bin_spans_multiple_base_bins,"請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】, | 請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】",question_options_99.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
build_income_expenditure_crosswalk.py,INC_PERS_WORK,個人收入,INC_PERS_WORK,個人工作/營業收入,range_overlap,2010,99,H1,H1,2,20,"20,000-29,999 元",5.0,"25,000-29,999 元",source_bin_spans_multiple_base_bins,"請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】, | 請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」的收入是多少？【過去ㄧ年帄均每個月的金額】",question_options_99.csv,95+ 同概念；106/110 對象為經濟戶長。 103基準題號：H1。,mapping_relation=source_bin_spans_multiple_base_bins; total_rule=source_question
